Airport_code,Airport_Name,Country,Runway_Count,Timezone
IKA,Imam Khomeini International Airport,IR,2.0,TBD
THR,Mehrabad International Airport,IR,3.0,TBD
MHD,Mashhad International Airport,IR,2.0,TBD
SYZ,Shiraz Shahid Dastghaib International Airport,IR,2.0,TBD
TBZ,Tabriz International Airport,IR,2.0,TBD
AMM,Queen Alia International Airport,JO,2.0,TBD
KWI,Kuwait International Airport,KW,2.0,TBD
BEY,Beirut Rafic Hariri International Airport,LB,3.0,TBD
DQM,Duqm International Airport,OM,1.0,TBD
MNH,Rustaq Airport,OM,,TBD
AUH,Abu Dhabi International Airport,AE,2.0,TBD
DXB,Dubai International Airport,AE,2.0,TBD
DWC,Al Maktoum International Airport,AE,2.0,TBD
SHJ,Sharjah International Airport,AE,1.0,TBD
MCT,Muscat International Airport,OM,2.0,TBD
ISB,Islamabad International Airport,PK,2.0,TBD
SKT,Sialkot Airport,PK,1.0,TBD
BGW,Baghdad International Airport,IQ,2.0,TBD
BSR,Basrah International Airport,IQ,1.0,TBD
ALP,Aleppo International Airport,SY,1.0,TBD
DAM,Damascus International Airport,SY,2.0,TBD
LTK,Bassel Al-Assad International Airport,SY,1.0,TBD
DOH,Hamad International Airport,QA,2.0,TBD
FAI,Fairbanks International Airport,US,4.0,TBD
ANC,Ted Stevens Anchorage International Airport,US,3.0,TBD
GUM,Antonio B. Won Pat International Airport,GU,2.0,TBD
CGY,Laguindingan Airport,PH,1.0,TBD
HNL,Daniel K Inouye International Airport,US,6.0,TBD
KNH,Kinmen Airport,TW,1.0,TBD
KHH,Kaohsiung International Airport,TW,1.0,TBD
TPE,Taiwan Taoyuan International Airport,TW,2.0,TBD
NRT,Narita International Airport,JP,2.0,TBD
KIX,Kansai International Airport,JP,2.0,TBD
CTS,New Chitose Airport,JP,2.0,TBD
FUK,Fukuoka Airport,JP,1.0,TBD
KOJ,Kagoshima Airport,JP,1.0,TBD
NGO,Chubu Centrair International Airport,JP,1.0,TBD
FSZ,Mt. Fuji Shizuoka Airport,JP,1.0,TBD
ITM,Osaka International Airport,JP,2.0,TBD
HND,Tokyo Haneda International Airport,JP,4.0,TBD
OKO,Yokota Air Base,JP,1.0,TBD
MWX,Muan International Airport,KR,1.0,TBD
KUV,Kunsan Air Base,KR,1.0,TBD
CJU,Jeju International Airport,KR,2.0,TBD
PUS,Gimhae International Airport,KR,2.0,TBD
ICN,Incheon International Airport,KR,4.0,TBD
OSN,Osan Air Base,KR,2.0,TBD
GMP,Gimpo International Airport,KR,2.0,TBD
CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513),KR,2.0,TBD
OKA,Naha Airport,JP,2.0,TBD
DNA,Kadena Air Base,JP,2.0,TBD
CRK,Diosdado Macapagal International Airport,PH,2.0,TBD
MNL,Ninoy Aquino International Airport,PH,2.0,TBD
DVO,Francisco Bangoy International Airport,PH,1.0,TBD
CEB,Mactan Cebu International Airport,PH,1.0,TBD
GRV,Grozny North Airport,RU,1.0,TBD
EZE,Ministro Pistarini International Airport,AR,2.0,TBD
BEL,Val de Cans/JÃºlio Cezar Ribeiro International Airport,BR,3.0,TBD
BSB,Presidente Juscelino Kubitschek International Airport,BR,2.0,TBD
CNF,Tancredo Neves International Airport,BR,1.0,TBD
CWB,Afonso Pena Airport,BR,2.0,TBD
MAO,Eduardo Gomes International Airport,BR,1.0,TBD
FLN,HercÃ­lio Luz International Airport,BR,2.0,TBD
GIG,Rio GaleÃ£o â Tom Jobim International Airport,BR,2.0,TBD
GRU,Guarulhos - Governador AndrÃ© Franco Montoro International Airport,BR,2.0,TBD
NAT,Governador AluÃ­zio Alves International Airport,BR,1.0,TBD
CGH,Congonhas Airport,BR,2.0,TBD
SSA,Deputado Luiz Eduardo MagalhÃ£es International Airport,BR,2.0,TBD
SCL,Comodoro Arturo Merino BenÃ­tez International Airport,CL,2.0,TBD
LTX,Cotopaxi International Airport,EC,1.0,TBD
UIO,Mariscal Sucre International Airport,EC,1.0,TBD
BOG,El Dorado International Airport,CO,2.0,TBD
VVI,Viru Viru International Airport,BO,1.0,TBD
LIM,Jorge ChÃ¡vez International Airport,PE,2.0,TBD
CUZ,Alejandro Velasco Astete International Airport,PE,1.0,TBD
MVD,Carrasco International /General C L Berisso Airport,UY,3.0,TBD
BLA,General JosÃ© Antonio Anzoategui International Airport,VE,2.0,TBD
CCS,SimÃ³n BolÃ­var International Airport,VE,2.0,TBD
PTP,Pointe-Ã -Pitre Le Raizet,GP,1.0,TBD
SJU,Luis Munoz Marin International Airport,PR,2.0,TBD
NBE,Enfidha - Hammamet International Airport,TN,1.0,TBD
SXM,Princess Juliana International Airport,SX,1.0,TBD
ALA,Almaty Airport,KZ,2.0,TBD
TSE,Astana International Airport,KZ,,TBD
FRU,Manas International Airport,KG,1.0,TBD
