type,name,iso_country,iata_code
large_airport,Charles de Gaulle International Airport,FR,CDG
large_airport,Paris-Orly Airport,FR,ORY
large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,BSL
large_airport,Eleftherios Venizelos International Airport,GR,ATH
large_airport,Heraklion International Nikos Kazantzakis Airport,GR,HER
large_airport,Thessaloniki Macedonia International Airport,GR,SKG
large_airport,Budapest Liszt Ferenc International Airport,HU,BUD
large_airport,Bari Karol WojtyÅa Airport,IT,BRI
large_airport,Catania-Fontanarossa Airport,IT,CTA
large_airport,FalconeâBorsellino Airport,IT,PMO
large_airport,Cagliari Elmas Airport,IT,CAG
large_airport,Malpensa International Airport,IT,MXP
large_airport,Milan Bergamo Airport,IT,BGY
large_airport,Turin Airport,IT,TRN
large_airport,Genoa Cristoforo Colombo Airport,IT,GOA
large_airport,Milano Linate Airport,IT,LIN
large_airport,Bologna Guglielmo Marconi Airport,IT,BLQ
large_airport,Treviso-Sant'Angelo Airport,IT,TSF
large_airport,Verona Villafranca Airport,IT,VRN
large_airport,Venice Marco Polo Airport,IT,VCE
large_airport,CiampinoâG. B. Pastine International Airport,IT,CIA
large_airport,Leonardo da VinciâFiumicino Airport,IT,FCO
large_airport,Naples International Airport,IT,NAP
large_airport,Pisa International Airport,IT,PSA
large_airport,Ljubljana JoÅ¾e PuÄnik Airport,SI,LJU
large_airport,VÃ¡clav Havel Airport Prague,CZ,PRG
large_airport,Ben Gurion International Airport,IL,TLV
large_airport,Ovda International Airport,IL,VDA
large_airport,Malta International Airport,MT,MLA
large_airport,Vienna International Airport,AT,VIE
large_airport,Faro Airport,PT,FAO
large_airport,Lajes Airport,PT,TER
large_airport,JoÃ£o Paulo II Airport,PT,PDL
large_airport,Francisco de SÃ¡ Carneiro Airport,PT,OPO
large_airport,Humberto Delgado Airport (Lisbon Portela Airport),PT,LIS
large_airport,Sarajevo International Airport,BA,SJJ
large_airport,Henri CoandÄ International Airport,RO,OTP
large_airport,Geneva Cointrin International Airport,CH,GVA
large_airport,ZÃ¼rich Airport,CH,ZRH
large_airport,EsenboÄa International Airport,TR,ESB
large_airport,Adana Airport,TR,ADA
large_airport,Antalya International Airport,TR,AYT
large_airport,Gaziantep International Airport,TR,GZT
large_airport,AtatÃ¼rk International Airport,TR,ISL
large_airport,Adnan Menderes International Airport,TR,ADB
large_airport,Dalaman International Airport,TR,DLM
large_airport,Erzurum International Airport,TR,ERZ
large_airport,Trabzon International Airport,TR,TZX
large_airport,SÃ¼leyman Demirel International Airport,TR,ISE
large_airport,Milas Bodrum International Airport,TR,BJV
large_airport,Sabiha GÃ¶kÃ§en International Airport,TR,SAW
large_airport,Istanbul Airport,TR,IST
large_airport,Skopje International Airport,MK,SKP
large_airport,Belgrade Nikola Tesla Airport,RS,BEG
large_airport,Podgorica Airport,ME,TGD
large_airport,M. R. Å tefÃ¡nik Airport,SK,BTS
large_airport,Punta Cana International Airport,DO,PUJ
large_airport,Las AmÃ©ricas International Airport,DO,SDQ
large_airport,La Aurora Airport,GT,GUA
large_airport,Norman Manley International Airport,JM,KIN
large_airport,General Juan N Alvarez International Airport,MX,ACA
large_airport,Don Miguel Hidalgo Y Costilla International Airport,MX,GDL
large_airport,General Ignacio P. Garcia International Airport,MX,HMO
large_airport,Licenciado Benito Juarez International Airport,MX,MEX
large_airport,General Mariano Escobedo International Airport,MX,MTY
large_airport,Licenciado Gustavo DÃ­az Ordaz International Airport,MX,PVR
large_airport,Los Cabos International Airport,MX,SJD
large_airport,General Abelardo L. RodrÃ­guez International Airport,MX,TIJ
large_airport,CancÃºn International Airport,MX,CUN
large_airport,Tocumen International Airport,PA,PTY
large_airport,Daniel Oduber Quiros International Airport,CR,LIR
large_airport,MonseÃ±or Ãscar Arnulfo Romero International Airport,SV,SAL
large_airport,JosÃ© MartÃ­ International Airport,CU,HAV
large_airport,Juan Gualberto Gomez International Airport,CU,VRA
large_airport,Owen Roberts International Airport,KY,GCM
large_airport,Lynden Pindling International Airport,BS,NAS
large_airport,Philip S. W. Goldson International Airport,BZ,BZE
large_airport,Rarotonga International Airport,CK,RAR
large_airport,Faa'a International Airport,PF,PPT
large_airport,Auckland International Airport,NZ,AKL
large_airport,Christchurch International Airport,NZ,CHC
large_airport,Wellington International Airport,NZ,WLG
large_airport,Bahrain International Airport,BH,BAH
large_airport,King Fahd International Airport,SA,DMM
large_airport,King Abdulaziz Air Base,SA,DHA
large_airport,King Abdulaziz International Airport,SA,JED
large_airport,Prince Mohammad Bin Abdulaziz Airport,SA,MED
large_airport,King Khaled International Airport,SA,RUH
large_airport,Imam Khomeini International Airport,IR,IKA
large_airport,Mehrabad International Airport,IR,THR
large_airport,Mashhad International Airport,IR,MHD
large_airport,Shiraz Shahid Dastghaib International Airport,IR,SYZ
large_airport,Tabriz International Airport,IR,TBZ
large_airport,Queen Alia International Airport,JO,AMM
large_airport,Kuwait International Airport,KW,KWI
large_airport,Beirut Rafic Hariri International Airport,LB,BEY
